id,text,historical_reply,intent,expected_action,review_notes
2635,"@115858 Just updated iOS on iPhone7, now iCloud backup greyed out, cannot be turned on, says “Last Backup Never”",@116339 Check out this link: https://t.co/Lr8zUtw9ls Send us a DM if it doesn't help. https://t.co/GDrqU22YpT,technical_problem,auto-handle,AI-assisted preliminary label; requires human review
2637,"@AppleSupport Hi, I plugged an adapter straight into the transformer and it still didn't charger. The charger LED does not light up either.",@116340 We certainly want to take a closer look into this. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
2638,@AppleSupport ...cost for sending in for diagnosing a problem if it's out of warranty?,@116340 We can help. Let’s start with the following steps to see if we can save you a trip in for service: https://t.co/RqWW0duJ0U,other,escalate,AI-assisted preliminary label; requires human review
2642,@AppleSupport still no reliable Bluetooth on my iPhone 8+.,@116341 Thanks for reaching out. DM which Bluetooth device you are trying to connect to so we can help. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
2644,"@AppleSupport When you roll the month, it does not appear and hangs",@116342 We'd like to take a closer look at this. DM us and we'll go from there. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
2645,@115858 when will the bug in the calendar app be fixed? I upgraded to iOS 11.1 and it still crashes when iOS 11.03,@116342 We'd like to help. What is going on with the app?,technical_problem,auto-handle,AI-assisted preliminary label; requires human review
2648,@AppleSupport do you have any apps for epilepsy so I can detect my seizures thanks in advance,"@116343 Hey, we can provide some guidance. Let's meet in DM and we'll go from there. https://t.co/GDrqU22YpT",other,escalate,AI-assisted preliminary label; requires human review
2650,"@115858 really needs to fix this update. My phone has never been slower, for real.",@116344 We're here to help with any issues you may having with performance. Let us know the exact iOS version to get started.,other,escalate,AI-assisted preliminary label; requires human review
2652,@AppleSupport 11.0.3,@116345 Got it. We'd recommend backing up and updating your device to 11.1 and test things out further. Keep us posted on the results.,other,escalate,AI-assisted preliminary label; requires human review
2654,@AppleSupport newest version of iOS and iPhone 7,"@116345 Since we just released iOS 11.1 today, can you clarify which exact version you have installed?",other,escalate,AI-assisted preliminary label; requires human review
2665,@AppleSupport Yes,@116348 Thank you for reaching out. We've received your DM and will continue working with you there.,other,escalate,AI-assisted preliminary label; requires human review
2671,@AppleSupport @AppleSupport ^^check this out,@116349 Send us a DM please and we will go from there. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
2676,@AppleSupport HELP ME. I have a problem with my iPhone 7😑,@116349 We're happy to help. What seems to be the problem?,other,escalate,AI-assisted preliminary label; requires human review
2678,"@AppleSupport Any idea why icons show up like this? I did force reset to no avail. After initial notification display, they show up. https://t.co/qBFIAlpGyD","@116350 We're here for you. DM us, and we'll look into this together. https://t.co/GDrqU22YpT",other,escalate,AI-assisted preliminary label; requires human review
2680,@AppleSupport It’s sorted. Thanks. iOS update needed a change and hard reboot,@116351 We're glad to hear that's sorted out for you. Have a great day.,other,escalate,AI-assisted preliminary label; requires human review
2682,@AppleSupport ios 11.0.3 on 6s. Cannot adjust alarm volume so waking up all in my house and neighbours despite ringer being set to minimum!,"@116351 We'd love to help with your alarm volume. Is the option to ""Change with Buttons"" disabled under Settings &gt; Sounds?",technical_problem,auto-handle,AI-assisted preliminary label; requires human review
2684,@AppleSupport live photo keeps turning on in the camera even when it’s set to stay off. Please fix in next update.,"@116352 Hey, we can work together to figure out a solution. Send us a DM and we'll continue from there. https://t.co/GDrqU22YpT",other,escalate,AI-assisted preliminary label; requires human review
3761,Listen I’m having issues with my phone so like can you @ me so we can talk @AppleSupport,@116620 We're here to help. Send us a DM with the issue and we'll follow up from there. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
3763,"@AppleSupport 11.1?? when did that come out lol, i talked to you guys last night and you asked if i was updated to 11.0.3 which i am lol","@116621 It was released earlier today. Let's use these steps to update iOS:  
 https://t.co/80YRnjDFDk",other,escalate,AI-assisted preliminary label; requires human review
3764,not only does my phone keep freezing but when i screenshot things it turns out white... really not liking this iphone 8 plus @AppleSupport,@116621 Let's look at this together. Are you updated to iOS 11.1?,other,escalate,AI-assisted preliminary label; requires human review
3767,@AppleSupport I’m no expert in battery life  but 40% doesn’t go to 7% in 5minutes,"@116622 We understand your concerns, and want to help. Which device is this happening on?",other,escalate,AI-assisted preliminary label; requires human review
3769,@AppleSupport That fixed it thanks,@116623 That's great! Enjoy the rest of your day.,other,escalate,AI-assisted preliminary label; requires human review
3770,@AppleSupport this is my top bar every time I open messages on my SE after updating to iOS 11.1 https://t.co/Lzge3qzc7w,@116623 Thank you for reaching out to us. Have you tried to restart the device? Let us know to get started.,other,escalate,AI-assisted preliminary label; requires human review
3776,"@AppleSupport still happening, including on iOS 11.2 beta now. any ideas?",@116625 Thanks for the update. Go ahead and send us a DM and we'll take it from there. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
3777,"@AppleSupport I've also forced the app to close from the background and reopened, no dice 🎲",@116625 Let’s team up on this. How long has this been happening? What version number of iOS are you running? Which iPhone do you have?,technical_problem,auto-handle,AI-assisted preliminary label; requires human review
4870,@AppleSupport iPhone 6 and yes it’s got the latest software update,"@116853 Thanks for letting us know. We'd like to take a further look into this. Please send us a DM, and we'll continue there. https://t.co/GDrqU22YpT",other,escalate,AI-assisted preliminary label; requires human review
4871,Really considering getting a new kind of phone since my iPhone dies with 90% while using my camera 😤 @115858 @AppleSupport @318,@116853 We want to help! What model of iOS device are you using? Do you have the most recent version of iOS 11.1 downloaded?,other,escalate,AI-assisted preliminary label; requires human review
4875,Come on @AppleSupport #ios11.1  Same bug as before. Numbers disappear when entering info. Video below. #iosproblems https://t.co/eKirAn2Mam,@116854 Let's investigate this together. Does this only occur when using specific apps or website?,technical_problem,auto-handle,AI-assisted preliminary label; requires human review
4877,@AppleSupport Restarting does resolve the issue. Thanks.,@116855 We're glad to hear that resolved the issue. Don't hesitate to reach out to us if you have any questions. Take care.,other,escalate,AI-assisted preliminary label; requires human review
4879,@AppleSupport I can’t download songs. Progress icon keeps spinning. On both data + WiFi. Stream works though. Can’t add songs to playlists. https://t.co/x7uUxSqO9u,@116855 We want to help. Does restarting help at all? DM us which iOS version you're on and we'll continue support there. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
4881,@AppleSupport iOS 11.1,@116856 Are all of your apps updated as well?,other,escalate,AI-assisted preliminary label; requires human review
4884,@AppleSupport It,@116856 We'd be happy to look into this with you further. DM us using the link below and we'll go from there. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
4882,@AppleSupport tell me why I️’I’ve updated my phone twice and I️ can’t type letter I️ without getting a letter A and a question mark,@116856 We're here for you. What is the exact version of the iOS you're running? Check by tapping Settings &gt; General &gt; About.,other,escalate,AI-assisted preliminary label; requires human review
4889,@AppleSupport And the new ones tauntingly pretend they are saved- it’s just when I click on them or try to send them that the grey screen shows,"@116857 We appreciate those details. For more help with Photos, please reach out to our Photos experts here: https://t.co/IBIY3vMgPj",other,escalate,AI-assisted preliminary label; requires human review
4890,"@AppleSupport whenever I try to see the photos that I’ve just taken my #iphone6 shows me this. I’ve reset it, I’ve restored it... help? https://t.co/8tQy27WvMe",@116857 We know how important it is to be able to view your photos. Are you able to see older photos on your iPhone?,other,escalate,AI-assisted preliminary label; requires human review
4893,This “I️” shit annoying yo @115858 fix this shit,@116858 We're here to help. Send us a DM with the iOS version number you're on. We'll follow up there. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
4897,@AppleSupport AFTER I️ updated my phone.,@116859 Does that continue after restarting your iPhone? Do you have any other iOS devices or a Mac computer? Let us know in DM. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
4896,@AppleSupport please make this stop!!! https://t.co/YoyrO8iZKe,"@116859 Let’s work together on this behavior. How long has this been happening? Also, which device are you using?",cancellation,auto-handle,AI-assisted preliminary label; requires human review
4900,@AppleSupport @116860 I have and my battery life has become even worse,@116861 Let's look into this further in DM. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
4905,@AppleSupport I've updated to iOS 11.1 just now. I shall check out these WiFi hotspots tomorrow and later in the week.,@116855 Sounds good. Let us know the results in DM and we'll continue working with you there. Thanks again. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
4906,@AppleSupport The ‘Overlapping url over TIME on Free WiFi hotspots’ remains. v11.0.3. Not a WiFi problem; two different hotspots shown. https://t.co/81ifcrDUeS,@116855 We'd like to have you backup and update your iPhone to iOS 11.1 and let us know if that helps: https://t.co/ahjigcvFRG,other,escalate,AI-assisted preliminary label; requires human review
4909,"コレは本当に困る、ゲームも出来なくなったしアップデートしなきゃ良かった´д` ;
@AppleSupport @115858 → 「バッテリーの減りが激しい」という問題に関しても同様）。 https://t.co/bGQly6cE2O",@116862 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj.,other,escalate,AI-assisted preliminary label; requires human review
4915,"Don’t complain a lot about @115858 but when battery iphone goes down 50% after using your phone for 30 minutes .....
Problems since update 11",@116864 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
4917,.@AppleSupport why my iPhone keep dying at 30% quit playing games I'm not getting no new damn phone or iPhone x,@116865 We'd like to help. What iOS version are you on?,other,escalate,AI-assisted preliminary label; requires human review
5808,Y’all need to fix this now @115858,@117096 Thank you for reaching out. We've received your DM and will continue working with you there.,other,escalate,AI-assisted preliminary label; requires human review
5810,@AppleSupport No,"@117097 Got it. We recommend updating your Watch OS, then testing to see if the issue persists. If the problem continues, reach back out.",other,escalate,AI-assisted preliminary label; requires human review
5812,@AppleSupport just updated my 7 plus to 11.1 but I can’t see the new emojis on my watch. Pls help.,@117097 Got it. Have you updated your Apple Watch to 4.1 yet?,other,escalate,AI-assisted preliminary label; requires human review
5814,@AppleSupport ok cool,@117098 Does this issue happen with all applications or only some?  Let us know in DM. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
5816,I️ &lt;— wtf is going on @AppleSupport,@117098 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
5819,@AppleSupport I can’t change lock screen anymore from ‘wallpaper’ in settings. How do I do it now?,@117099 We'd be happy to help. Check out this link to for more information: https://t.co/hSnkM7JIIS,other,escalate,AI-assisted preliminary label; requires human review
5821,"Dear @AppleSupport this new update sucks ,I have too many problems with my phone now ! Blurry screen , black screen , frozen phone !",@117100 Getting the expected performance from your iPhone is very important to us. Let us know the exact iOS version to get started.,other,escalate,AI-assisted preliminary label; requires human review
5823,@115858 creates amazing technology..... but talk to text still messes up 90% of what I will it to type..... #fixyourcrap,@117101 Let’s work together on this. How long has this been happening? Do you experience similar behavior with Siri?,other,escalate,AI-assisted preliminary label; requires human review
5829,"Heyyy @115858 still waiting on a version of iOS 11 that isn’t complete shit

— Everyone with any iPhone that isn’t the brand new one","@117103 Thanks for reaching out. If you're having issues, we'd like to assist. DM us and we'll continue there. https://t.co/GDrqU22YpT",other,escalate,AI-assisted preliminary label; requires human review
5831,@AppleSupport why does my iphone 6 is redémarrer alone !!!!!,@117104 Thanks for getting back to us. We apologize but aren't understanding the issue at hand. Please DM us. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
5833,"sa fait 1h j’ai ios11.1 et mon tel redemarre seul, explication @AppleSupport ?????",@117104 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,other,escalate,AI-assisted preliminary label; requires human review
5835,You dropped an update and I️ still see boxed question marks. Fix this shit @AppleSupport @115858.,@117105 We're here to help. Which version of iOS is installed on your device? You'll see this in Settings &gt; General &gt; About.,other,escalate,AI-assisted preliminary label; requires human review
5837,@AppleSupport Yes. Sorry. I️ just watched a video about 11.2 beta. 11.1 When I️ type the letter Eye I️ happens https://t.co/bUBElgADue,"@117106 Have you tried resetting the keyboard dictionary yet? If not, go to Settings &gt; General &gt; Reset &gt; Reset Keyboard Library",other,escalate,AI-assisted preliminary label; requires human review
5841,@AppleSupport Tried I️t and I️t still doesn’t work,@117106 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,other,escalate,AI-assisted preliminary label; requires human review
5839,Just updated to iOS 11.2 and my keyboard is completely screwed up and glitchy now 🤦‍♂️ @115858 @AppleSupport,@117106 We'd like to assist as best we can. Do you mean iOS 11.1 which was released today?,other,escalate,AI-assisted preliminary label; requires human review
5844,"@AppleSupport No, virginmedia. Tried twice with completely new mail. One didn’t save, 2nd did though. Very odd.","@117107 Some accounts may create separate folders for your Drafts. If you're still having trouble, please DM us here: https://t.co/GDrqU22YpT",other,escalate,AI-assisted preliminary label; requires human review
5845,@AppleSupport Updated iPad Pro to 11.1.  Worked on draft email. None of changes saved. Started new email. Saved but disappeared. Help please,@117107 We'll help in any way we can. Was this on an https://t.co/coj9FJKJWV email account?,other,escalate,AI-assisted preliminary label; requires human review
5848,@AppleSupport 11.0.3,"@117108 Got it. From here, let's update to iOS version 11.1, then test to see if the issue persists: https://t.co/80YRnjDFDk",other,escalate,AI-assisted preliminary label; requires human review
5853,@319 why is my “it “ autocorrecting to I.T?? So annoying! Can’t change in settings either...@AppleSupport,@117109 We'd love to help. Let's work together in DM. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
6483,Hello @115858 @AppleSupport what’s happening to my screen https://t.co/GTNXT4VoKd,@117151 We'd love to take a look into this concern. Is the screen stuck this way have you restarted it? Send us a DM. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
6554,@AppleSupport how long does it take usually for account recovery to get back to you? It’s been about a week now.,@117154 Having access to your Apple ID is important. Did you receive an email with a confirmation of your request? DM us here: https://t.co/GDrqU22YpT,account_access,auto-handle,AI-assisted preliminary label; requires human review
6608,@AppleSupport the fact that my laptop that I haven't even had for two years keeps shutting off without warning at 15% is kind of ridiculous.,@117165 Let's see what we can find for you today. Let's meet up in DM to gather some specifics and we'll proceed from there. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
6657,@AppleSupport My wife made the mistake of updating to 11. How can we revert back? Her password keeper app is now dead. She can't access her passwords.,@117177 You won't be able to revert the system to pre-iOS 11 but we can look into the issues. DM us and we'll get started. https://t.co/GDrqU22YpT,technical_problem,escalate,AI-assisted preliminary label; requires human review
6917,"@AppleSupport Yes, sorry i mean iOS 11, when I texting my keyboard it’s very slow and my battery it consumes very fast.","@117183 Are you currently using Low Power Mode? If so, disable that from Settings &gt; Battery and restart. Let us know in DM if it helps. https://t.co/GDrqU22YpT",other,escalate,AI-assisted preliminary label; requires human review
6919,"@AppleSupport I installed the iOS 10.0 , 10.0.1 and 10.0.2 and makes my iPhone 6 very slow and doesn’t work properly can you help me?","@117183 We can help!  We assume you mean iOS 11, right?  Can you tell us what types of performance issues you're experiencing?",other,escalate,AI-assisted preliminary label; requires human review
6928,@AppleSupport my iPhone is a fully up to date so why does my phone keep freezing 🙃???,"@117186 We want to help in any way we can. Which iPhone are you using? Let us know in DM, and we’ll work with you there. https://t.co/GDrqU22YpT",other,escalate,AI-assisted preliminary label; requires human review
6934,@115858 after the new apple updates: the battery life is really go fast and the WiFi is always on! @AppleSupport #newappleupdates,@117189 We'd love to help. Let's work on this together in DM. Start by letting us know what kind of device you are using. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
8297,@AppleSupport Hello there i need help with the use of an administartors name and password on my imac,@117454 Hi! We're happy to help. Join us in DM with the macOS version installed on your iMac and more details about what's going on. https://t.co/GDrqU22YpT,account_access,escalate,AI-assisted preliminary label; requires human review
8299,@AppleSupport DL the latest iOS today. Very laggy 6s. Phone is running like hammered dog shit since the DL.,@117455 Are you seeing issues across all apps or are you noticing lag when performing specific tasks? Let us know in DM. https://t.co/GDrqU22YpT,other,escalate,AI-assisted preliminary label; requires human review
8302,Every time I watch a live broadcast or video it skips or repeats a few seconds since updating @AppleSupport https://t.co/ufl7yqidmb,"@117456 We'd like to learn more about what's happening. What model &amp; iOS version are you working with? Tell us in DM, please. https://t.co/GDrqU2kzhr",other,escalate,AI-assisted preliminary label; requires human review
